Entity,Year,Renewables (% electricity),Renewables (% equivalent primary energy),Biofuels Production - TWh - Total,Solar (% electricity),Hydro (% equivalent primary energy),Electricity from hydro (TWh),Electricity from wind (TWh),Hydro (% electricity),Wind (% electricity),Solar Capacity,Electricity from solar (TWh),Other renewables including bioenergy (TWh),Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Geothermal Capacity,Wind (% equivalent primary energy),Wind Capacity,Solar (% equivalent primary energy)
United States,1965,0.0,4.36887,0.0,0.0,4.074629,397.94818,0.0,0.0,0.0,0.0,0.0,13.332232,13.332232,0.0,0.0,198.97409,0.0,0.0,0.0,0.0
United States,1966,0.0,4.171402,0.0,0.0,3.8774655,399.8738,0.0,0.0,0.0,0.0,0.0,14.062007,14.062007,0.0,0.0,199.9369,0.0,0.0,0.0,0.0
United States,1967,0.0,4.542216,0.0,0.0,4.258249,454.44162,0.0,0.0,0.0,0.0,0.0,14.073571,14.073571,0.0,0.0,227.22081,0.0,0.0,0.0,0.0
United States,1968,0.0,4.3309736,0.0,0.0,4.0351424,456.30942,0.0,0.0,0.0,0.0,0.0,15.546045,15.546045,0.0,0.0,228.15471,0.0,0.0,0.0,0.0
United States,1969,0.0,4.5988784,0.0,0.0,4.3056097,512.05706,0.0,0.0,0.0,0.0,0.0,16.22706,16.22706,0.0,0.0,256.02853,0.0,0.0,0.0,0.0
United States,1970,0.0,4.400803,0.0,0.0,4.1172185,506.98474,0.0,0.0,0.0,0.0,0.0,16.235903,16.235903,0.0,0.0,253.49237,0.0,0.0,0.0,0.0
United States,1971,0.0,4.614475,0.0,0.0,4.3307962,544.508,0.0,0.0,0.0,0.0,0.0,16.584414,16.584414,0.0,0.0,272.254,0.0,0.0,0.0,0.0
United States,1972,0.0,4.526047,0.0,0.0,4.2234125,557.43194,0.0,0.0,0.0,0.0,0.0,18.67298,18.67298,0.0,0.0,278.71597,0.0,0.0,0.0,0.0
United States,1973,0.0,4.3547597,0.0,0.0,4.0446424,556.4254,0.0,0.0,0.0,0.0,0.0,19.989693,19.989693,0.0,0.0,278.2127,0.0,0.0,0.0,0.0
United States,1974,0.0,4.902865,0.0,0.0,4.5792236,614.56928,0.0,0.0,0.0,0.0,0.0,20.404264,20.404264,0.0,0.0,307.28464,0.0,0.0,0.0,0.0
United States,1975,0.0,5.006975,0.0,0.0,4.6868434,612.4296,0.0,0.0,0.0,0.0,0.0,19.754301,19.754301,0.0,0.0,306.2148,0.0,0.0,0.0,0.0
United States,1976,0.0,4.5527077,0.0,0.0,4.2058325,579.6449,0.0,0.0,0.0,0.0,0.0,22.564754,22.564754,0.0,0.0,289.82245,0.0,0.0,0.0,0.0
United States,1977,0.0,3.549314,0.0,0.0,3.196156,451.7145,0.0,0.0,0.0,0.0,0.0,23.536121,23.536121,0.0,0.0,225.85725,0.0,0.0,0.0,0.0
United States,1978,0.0,4.3275704,0.0,0.0,3.963944,572.65704,0.0,0.0,0.0,0.0,0.0,24.678787,24.678787,0.0,0.0,286.32852,0.0,0.0,0.0,0.0
United States,1979,0.0,4.2914057,0.0,0.0,3.9172165,571.87066,0.0,0.0,0.0,0.0,0.0,25.756037,25.756037,0.0,0.0,285.93533,0.0,0.0,0.0,0.0
United States,1980,0.0,4.419221,0.0,0.0,4.0183063,564.0042,0.0,0.0,0.0,0.0,0.0,26.656116,26.656116,0.0,0.0,282.0021,0.0,0.0,0.0,0.0
United States,1981,0.0,4.3367486,0.0,0.0,3.9133127,533.01954,0.0,0.0,0.0,0.0,0.0,27.377604,27.377604,0.0,0.0,266.50977,0.0,0.0,0.0,0.0
United States,1982,0.0,5.2567115,0.0,0.0,4.8297443,631.0586,0.0,0.0,0.0,0.0,0.0,26.405048,26.405048,0.0,0.0,315.5293,0.0,0.0,0.0,0.0
United States,1983,0.0,5.6848154,0.0,0.0,5.202278,677.35528,0.005389898,0.0,0.0,0.0,0.006,29.8046,29.8046,0.003,0.002694949,338.67764,0.0,4.1413e-05,0.0,4.6030476e-05
United States,1984,0.0,5.3343606,0.0,0.0,4.7869487,655.1745,0.013111112,0.0,0.0,0.0,0.01060202,35.595325,35.595325,0.00530101,0.006555556,327.58725,0.0,9.581531e-05,0.0,7.742097e-05
United States,1985,12.178154,4.765776,0.0,0.00040409362,4.2072177,574.36474,0.011640404,10.80791,0.00021903927,0.0,0.021474748,36.392895,36.392895,0.010737374,0.005820202,287.18237,0.0,8.532507e-05,0.0,0.00015730227
United States,1986,12.544127,4.898404,0.0,0.00052963896,4.3105893,593.94996,0.008462626,11.097251,0.00015811413,0.0,0.028347474,38.70167,38.70167,0.014173737,0.004231313,296.97498,0.0,6.135883e-05,0.0,0.00020573207
United States,1987,10.752804,4.2147536,0.0,0.00038247634,3.5868316,510.8204,0.007153536,9.213249,0.00012902248,0.0,0.02120606,42.665432,42.665432,0.01060303,0.003576768,255.4102,0.0,5.026266e-05,0.0,0.0001489028
United States,1988,9.291262,3.6649997,0.0,0.00031518372,3.0676105,456.76928,0.001759596,7.8362975,3.018749e-05,0.0,0.018371718,42.394062,42.394062,0.009185859,0.000879798,228.38464,0.0,1.1822808e-05,0.0,0.00012340135
United States,1989,10.330222,4.3015428,0.0,0.008022067,3.6027658,549.44836,4.2667536,8.70634,0.06760928,0.0,0.5062646,48.854267,48.854267,0.2531323,2.1333768,274.72418,0.0,0.02797736,0.0,0.0033196073
United States,1990,10.917163,4.7246766,16.732742,0.011469849,3.8230917,584.5618,5.6335354,9.041164,0.08713145,0.0,0.7415899,57.459316,57.459316,0.37079495,2.8167677,292.2809,2913.5,0.036843874,0.0,0.0048500705
United States,1991,10.741865,4.7242856,19.388733,0.014622231,3.7633247,574.65204,5.9615174,8.784782,0.09113451,0.0,0.9565058,60.55176,60.55176,0.4782529,2.9807587,287.32602,0.0,0.039041236,0.0,0.006264038
United States,1992,9.729862,4.261231,22.044724,0.01244811,3.2452393,502.85134,5.8333798,7.655172,0.08880461,0.0,0.81768894,64.815414,64.815414,0.40884447,2.9166899,251.42567,0.0,0.037646737,0.0,0.0052770986
United States,1993,10.2707815,4.5714097,25.833727,0.013956148,3.530317,558.5019,6.0723776,8.201978,0.08917698,0.0,0.95032376,66.92472,66.92472,0.47516188,3.0361888,279.25095,0.0,0.03838379,0.0,0.0060070422
United States,1994,9.532383,4.2548165,28.846283,0.014511175,3.2193832,518.6826,6.9638566,7.4986076,0.100676656,0.0,1.0037456,66.35486,66.35486,0.5018728,3.4819283,259.3413,0.0,0.04322358,0.0,0.006230094
United States,1995,10.601639,4.762141,30.384048,0.01442175,3.7807684,622.43964,6.3924304,8.724164,0.089596815,0.0,1.0289432,63.26508,63.26508,0.5144716,3.1962152,311.21982,3170.96,0.038828343,0.0,0.0062499167
United States,1996,11.360623,5.0185714,21.78628,0.014777073,4.084431,695.09894,6.5334726,9.487109,0.08917259,0.0139,1.0826825,64.82596,64.82596,0.54134125,3.2667363,347.54947,0.0,0.038390968,0.0,0.0063618887
United States,1997,11.45328,5.115221,28.832184,0.014333735,4.152261,711.9462,6.6424952,9.578498,0.089367874,0.0146,1.0653914,65.82008,65.82008,0.5326957,3.3212476,355.9731,0.0,0.038740803,1.611,0.0062136473
United States,1998,10.147997,4.695757,31.444319,0.013606987,3.7331295,644.17852,6.1125174,8.353353,0.079263754,0.0152,1.04931868,65.61713,65.61713,0.52465934,3.0562587,322.08926,0.0,0.035423122,2.141,0.006080988
United States,1999,9.860898,4.5834517,32.786575,0.013168934,3.6056008,633.2104,9.0666628,8.043632,0.11517324,0.0166,1.0366842,66.47772,66.47772,0.5183421,4.5333314,316.6052,0.0,0.05162703,2.445,0.005903045
United States,2000,9.229899,4.027357,36.307648,0.012887615,3.0383854,540.06,11.18,7.1021276,0.147024,0.176,0.98,74.82,66.582825,0.51851267,5.649759,272.76135,2793.0,0.06293467,2.377,0.0057758964
United States,2001,7.5132055,3.421371,39.801285,0.01448665,2.3835363,416.28,13.48,5.5837984,0.18081485,0.213,1.08,64.64,66.83044,0.5743511,6.8053846,210.24,2216.0,0.07715412,3.864,0.006511542
United States,2002,8.749216,4.0155067,48.259228,0.014307156,2.8654375,511.18,20.7,6.648666,0.2692347,0.255,1.1,69.85,71.78936,0.6015976,10.458869,258.16757,2252.0,0.11608443,4.417,0.0066772145
United States,2003,9.025211,4.1800404,63.254505,0.013698841,2.967953,534.54,22.38,6.9080935,0.2892265,0.293,1.06,70.19,71.33214,0.6106543,11.30047,269.97098,2133.0,0.12423286,5.995,0.00671329
United States,2004,8.73341,4.1015115,77.1594,0.014676299,2.8128626,519.86,28.28,6.5772595,0.35779804,0.363,1.16,70.490005,71.94537,0.69813246,14.286607,262.55466,2152.0,0.15305866,6.456,0.0074793976
United States,2005,8.749464,4.219231,90.5215,0.013630765,2.834965,527.52,35.62,6.536819,0.44138896,0.493,1.1,70.92,72.59806,0.74890065,17.990454,266.42773,2285.0,0.19143015,8.706,0.007968791
United States,2006,9.418474,4.6788607,117.979416,0.012602114,3.0432415,565.38,53.18,6.9852777,0.65703964,0.6980000000000001,1.02,71.37,73.08227,0.82443213,26.857714,285.544,2274.0,0.28624138,11.329,0.008786548
United States,2007,8.39841,4.3730087,162.89944,0.014725159,2.539321,481.22,68.9,5.8082304,0.8316094,0.974,1.22,72.240005,73.86955,1.0954105,34.797905,243.04407,2214.0,0.36356807,16.515,0.011444834
United States,2008,9.1809435,5.0045505,231.80676,0.020937158,2.6716993,497.08,110.72,6.0508385,1.3477687,1.153,1.72,72.35,73.551476,1.6330626,55.922325,251.05386,2229.0,0.59512186,24.651,0.017378947
United States,2009,10.547689,5.8000064,262.64377,0.022589864,3.0205047,537.64,147.78,6.8231544,1.8754663,1.614,1.78,71.96,73.15986,2.0759604,74.632454,271.53308,2382.0,0.8302034,34.296,0.023092758
United States,2010,10.3180895,5.8405547,309.5003,0.029412193,2.7515795,509.4,189.3,6.1911454,2.3007143,2.9090000000000003,2.42,73.92,75.061844,3.0130365,95.60833,257.2747,2405.0,1.0225409,39.135,0.032224737
United States,2011,12.466525,6.8973193,345.2215,0.044511072,3.38955,625.86,240.36,7.6532145,2.9391983,5.172,3.64,74.81,75.77516,4.738904,121.3905,316.09534,2409.0,1.3016932,45.676,0.05081616
United States,2012,12.184118,6.886334,330.10876,0.10716045,2.9997473,542.58,281.64,6.713986,3.485066,8.137,8.66,75.88,77.0361,9.037014,142.24414,274.03003,2592.0,1.5571158,59.075,0.09892624
United States,2013,12.831115,7.1346164,344.545,0.2229011,2.8236425,527.76,335.68,6.5065427,4.138465,11.759,18.08,79.62,80.665535,16.039696,169.5351,266.54984,2607.0,1.7959362,59.973,0.16991329
United States,2014,13.35031,7.262891,364.5882,0.706053,2.6652083,506.38,363.3,6.1813817,4.434804,15.984,57.84,83.07,84.07023,29.216162,183.49019,255.75058,2514.0,1.9121739,64.23201999999999,0.30446523
United States,2015,13.626135,7.468743,375.11325,0.95568305,2.5777395,487.98,381.44,5.9743047,4.669943,21.684,78.06,82.75,83.73627,39.42626,192.645,246.45312,2542.0,2.0149415,72.57302,0.41237307
United States,2016,15.288093,8.285086,399.23404,1.3423656,2.7450182,522.26,453.98,6.3884077,5.5531907,32.958,109.74,81.92,82.722565,55.4202,229.28542,263.76367,2517.0,2.3861992,81.286,0.57676435
United States,2017,17.451527,9.082049,411.9172,1.9070604,3.0593252,587.68,508.6,7.2511725,6.275433,41.357,154.56,81.770004,82.80032,78.05758,256.8714,296.80646,2483.0,2.6476958,87.59700000000001,0.8045766
United States,2018,17.44999,8.964939,424.44006,2.2220373,2.8621294,573.24,545.34,6.8217683,6.4897485,49.812,186.72,80.520004,81.8932,94.30808,275.42166,289.5146,2540.5,2.7228076,94.516,0.9323259
United States,2019,18.294624,9.315263,412.82147,2.5704722,2.8319073,565.22,591.76,6.796156,7.115271,59.068,213.78,75.38,76.82054,107.97374,298.8712,285.46765,2555.3,2.9648738,104.0522,1.0711253
United States,2020,20.315693,10.532232,374.58826,3.2330987,3.0197885,559.9,675.88,6.924006,8.358273,73.8137,261.44,72.79,74.30732,132.04141,341.35156,282.7805,2587.0,3.645264,118.7317,1.4100589
United States,2021,20.749863,10.655991,398.84695,3.9598093,2.6109571,492.94,756.4,5.9358606,9.10838,93.713016,328.84,72.49,75.490265,165.35657,383.60327,257.6901,0.0,3.88673,132.7376,1.6754191
